"executionTime","stationBeanList__id","stationBeanList__stationName","stationBeanList__availableDocks","stationBeanList__totalDocks","stationBeanList__latitude","stationBeanList__longitude","stationBeanList__statusValue","stationBeanList__statusKey","stationBeanList__availableBikes","stationBeanList__stAddress1","stationBeanList__stAddress2","stationBeanList__city","stationBeanList__postalCode","stationBeanList__location","stationBeanList__altitude","stationBeanList__testStation","stationBeanList__lastCommunicationTime","stationBeanList__landMark"
"","3288","E 88 St & 1 Ave","2","39","40.778301","-73.9488134","In Service","1","37","E 88 St & 1 Ave","","","","","","False","2019-11-28 05:23:24 AM",""
"","3289","W 90 St & Amsterdam Ave","8","32","40.79017948095081","-73.97288918495178","In Service","1","24","W 90 St & Amsterdam Ave","","","","","","False","2019-11-28 05:25:27 AM",""
"","3290","E 89 St & York Ave","1","35","40.7779453","-73.946041","In Service","1","33","E 89 St & York Ave","","","","","","False","2019-11-28 05:26:57 AM",""
"","3292","5 Ave & E 93 St","28","43","40.7857851","-73.957481","In Service","1","14","5 Ave & E 93 St","","","","","","False","2019-11-28 05:26:46 AM",""
"","3293","W 92 St & Broadway","3","24","40.7921","-73.9739","In Service","1","20","W 92 St & Broadway","","","","","","False","2019-11-28 05:23:39 AM",""
"","3294","E 91 St & Park Ave","13","38","40.7835016","-73.955327","In Service","1","25","E 91 St & Park Ave","","","","","","False","2019-11-28 05:26:22 AM",""
"","3295","Central Park W & W 96 St","9","59","40.79127","-73.964839","In Service","1","50","Central Park W & W 96 St","","","","","","False","2019-11-28 05:26:42 AM",""
"","3296","E 93 St & 2 Ave","3","42","40.782454175279874","-73.9489196240902","In Service","1","39","E 93 St & 2 Ave","","","","","","False","2019-11-28 05:24:25 AM",""
"","3297","6 St & 7 Ave","20","21","40.6686627","-73.97988067","In Service","1","1","6 St & 7 Ave","","","","","","False","2019-11-28 05:26:29 AM",""
"","3298","Warren St & Court St","21","23","40.686371","-73.99383324","In Service","1","1","Warren St & Court St","","","","","","False","2019-11-28 05:24:34 AM",""
